final_preprocessed_text,sentiment
one reviewer mentioned watching oz episode youll hooked right exactly happened mebr br first thing struck oz brutality unflinching scene violence set right word go trust not show faint hearted timid show pull no punch regard drug sex violence hardcore classic use wordbr br called oz nickname given oswald maximum security state penitentary focus mainly emerald city experimental section prison cell glass front face inwards privacy not high agenda em city home manyaryans muslim gangsta latino christian italian irish moreso scuffle death stare dodgy dealing shady agreement never far awaybr br would say main appeal show due fact go show wouldnt dare forget pretty picture painted mainstream audience forget charm forget romanceoz doesnt mess around first episode ever saw struck nasty surreal couldnt say ready watched developed taste oz got accustomed high level graphic violence not violence injustice crooked guard wholl sold nickel inmate wholl kill order get away well mannered middle class inmate turned prison bitch due lack street skill prison experience watching oz may become comfortable uncomfortable viewingthats get touch darker side,positive
wonderful little production br br filming technique unassuming oldtimebbc fashion give comforting sometimes discomforting sense realism entire piece br br actor extremely well chosen michael sheen not got polari voice pat truly see seamless editing guided reference williams diary entry not well worth watching terrificly written performed piece masterful production one great master comedy life br br realism really come home little thing fantasy guard rather use traditional dream technique remains solid disappears play knowledge sens particularly scene concerning orton halliwell set particularly flat halliwells mural decorating every surface terribly well done,positive
thought wonderful way spend time hot summer weekend sitting air conditioned theater watching lighthearted comedy plot simplistic dialogue witty character likable even well bread suspected serial killer may disappointed realize not match point risk addiction thought proof woody allen still fully control style many u grown lovebr br id laughed one woodys comedy year dare say decade ive never impressed scarlet johanson managed tone sexy image jumped right average spirited young womanbr br may not crown jewel career wittier devil wear prada interesting superman great comedy go see friend,positive
basically there family little boy jake think there zombie closet parent fighting timebr br movie slower soap opera suddenly jake decides become rambo kill zombiebr br ok first youre going make film must decide thriller drama drama movie watchable parent divorcing arguing like real life jake closet totally ruin film expected see boogeyman similar movie instead watched drama meaningless thriller spotsbr br well playing parent descent dialog shot jake ignore,negative
petter matteis love time money visually stunning film watch mr mattei offer u vivid portrait human relation movie seems telling u money power success people different situation encounter br br variation arthur schnitzlers play theme director transfer action present time new york different character meet connect one connected one way another next person no one seems know previous point contact stylishly film sophisticated luxurious look taken see people live world live habitatbr br thing one get soul picture different stage loneliness one inhabits big city not exactly best place human relation find sincere fulfillment one discerns case people encounterbr br acting good mr matteis direction steve buscemi rosario dawson carol kane michael imperioli adrian grenier rest talented cast make character come alivebr br wish mr mattei good luck await anxiously next work,positive
probably alltime favorite movie story selflessness sacrifice dedication noble cause not preachy boring never get old despite seen time last year paul lukas performance brings tear eye bette davis one truly sympathetic role delight kid grandma say like dressedup midget child make fun watch mother slow awakening whats happening world roof believable startling dozen thumb theyd movie,positive
sure would like see resurrection dated seahunt series tech today would bring back kid excitement mei grew black white tv seahunt gunsmoke hero every weekyou vote comeback new sea huntwe need change pace tv would work world water adventureoh way thank outlet like view many viewpoint tv many moviesso ole way believe ive got wan na saywould nice read plus point sea huntif rhyme would line would let submitor leave doubt quitif must go let,positive
show amazing fresh innovative idea first aired first year brilliant thing dropped show not really funny anymore continued decline complete waste time todaybr br truly disgraceful far show fallen writing painfully bad performance almost bad not mildly entertaining respite guesthosts show probably wouldnt still air find hard believe creator handselected original cast also chose band hack followed one recognize brilliance see fit replace mediocrity felt must give star respect original cast made show huge success show awful cant believe still air,negative
encouraged positive comment film looking forward watching film bad mistake ive seen film truly one worst awful almost every way editing pacing storyline acting soundtrack film song lame country tune played no less four time film look cheap nasty boring extreme rarely happy see end credit film br br thing prevents giving score harvey keitel far best performance least seems making bit effort one keitel obsessive,negative
like original gut wrenching laughter like movie young old love movie hell even mom liked itbr br great camp,positive
phil alien one quirky film humour based around oddness everything rather actual punchlinesbr br first odd pretty funny movie progressed didnt find joke oddness funny anymorebr br low budget film thats never problem pretty interesting character eventually lost interestbr br imagine film would appeal stoner currently partakingbr br something similar better try brother another planet,negative
saw movie came recall scariest scene big bird eating men dangling helplessly parachute right air horror horrorbr br young kid going cheesy b film saturday afternoon still tired formula monster type movie usually included hero beautiful woman might daughter professor happy resolution monster died end didnt care much romantic angle year old predictable plot love unintentional humorbr br year later saw psycho came loved star janet leigh bumped early film sat took notice point since screenwriter making story make scary possible not wellworn formula no rule,negative
